Position,Job Title,Company,Salary,Job link,Job Profile,City,State
35,Data Scientist - Remote India,LeewayHertz,70000.0,https://www.indeed.com/rc/clk?jk=6d4080ae02023d87&bb=Ta2QNd0XKIzG4SAT2jzt0ZKHo8vyh8atdGZ1dKAmUexNLU2o3kQxxklk28XqcAyKZJsPTD2kwoVMyzhQ1Hqz6SW_JvRBL6nzrpjoO59atzimG65tWErNQERxGn2_TPFS&xkcb=SoAk67M39QgDA8yRTx0PbzkdCdPP&fccid=67c1c701fe4bb3db&vjs=3,Data Scientist,Remote in San Francisco,CA
36,Sr. Data Scientist,Alight,0.0,https://www.indeed.com/rc/clk?jk=314d66517764780a&bb=Ta2QNd0XKIzG4SAT2jzt0U9yv9NMUbHJGWYeQ4V2jwNRQFBuLs1SCUMwNpomLQiU3UbElwfjr2rMCqD7q1XT-jDinp6noNzweF9Ohb7qIWsVwleDmnVl3kyO9-OIMa4E&xkcb=SoCQ67M39QgDA8yRTx0ObzkdCdPP&fccid=c35833abe06c86e0&vjs=3,Data Scientist,Remote in Chicago,IL
37,Data Engineer,Greystones Consulting Group LLC,0.0,https://www.indeed.com/rc/clk?jk=d31a1401fc105fae&bb=Ta2QNd0XKIzG4SAT2jzt0VMaxJC9qJY-2Pl03_5Irkoigi5ut2LJuC01k9gC_sLegDx1Gn4DldYzOUo00ZHT_QjslWTy95KTJCG7uaFZFwQnQizIjvfhOD8MQut7FAG8&xkcb=SoAN67M39QgDA8yRTx0NbzkdCdPP&fccid=c217704cc373c1dc&vjs=3,Data Engineer,Washington,DC
38,Data Scientist,Michelin,70000.0,https://www.indeed.com/rc/clk?jk=12ec91f1ad3083f8&bb=Ta2QNd0XKIzG4SAT2jzt0SG_zKgb1g0m_jvEpSMD1yAo6VEnYz5Z7U_FztDb2aW6hk_FyFAr8B3NhHosb44P5B8_xu1ZnYKKgYhlq8sSRwzA61LjudujlZt2FqUZ0mJu&xkcb=SoC567M39QgDA8yRTx0MbzkdCdPP&fccid=8a90a0ee1d8ff04d&vjs=3,Data Scientist,Woodburn,IN
39,Data Scientist,State of Ohio Jobs,70000.0,https://www.indeed.com/rc/clk?jk=08353e0615c43f48&bb=Ta2QNd0XKIzG4SAT2jzt0XPlH523KMc5LymuPvCyQqwgD_gWMCixkTCmP7IpQXwSVRN8R-D7Z6Q2MS610VlwQMMCH05H0mOuK9SNOJPlQRH9Wg3r4R9zk2nycJhaKBwy&xkcb=SoBQ67M39QgDA8yRTx0DbzkdCdPP&fccid=adab04218ef837d0&vjs=3,Data Scientist,Columbus,OH
40,Sr. Data Scientist,Hach,70000.0,https://www.indeed.com/rc/clk?jk=0cba648cfda7088e&bb=Ta2QNd0XKIzG4SAT2jzt0dVTzsKaL3Lc5gtiYhPuOQTEvAmNIANQsAwrer1EmtSSbaZ2zeX62HbcIH4KDKQiTjlztQWxibJBLBSHkESN-w40debdi0QNjMvbDglLfhFI&xkcb=SoDk67M39QgDA8yRTx0CbzkdCdPP&fccid=7211d6a9510d11db&vjs=3,Data Scientist,Loveland,CO
41,DATA SCIENTIST ASSOCIATE,University of Alabama at Birmingham,70000.0,https://www.indeed.com/rc/clk?jk=da9dd5b6dad3ca48&bb=Ta2QNd0XKIzG4SAT2jzt0S-5ciMKZBhB5pA8IIvnj8bCNfdGozarRJw_n4YQXesHUdtGX-nxWMKHMOPBDvl7GXfyoGIri0UdKT7M9ersNPV_-AZAlN0_nw%3D%3D&xkcb=SoB567M39QgDA8yRTx0BbzkdCdPP&fccid=61b32dc36af3abe6&vjs=3,Data Scientist,Birmingham,AL
42,"Lead Machine Learning Engineer, Bank Tech",Capital One,70000.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNUFMD4PZ3AunGrII_Xzx8fFADRBtjbMjrTX9onHtHSPiSBJdybLIEahRkN4SwgsNbDFD7Q0kYBxxL92x-aTyen-LQJFVBxkedvVMLstopGu-nI_hQdbm_7WEUl4PwC3pd5n6Pi-MR0TGrNy4J83OV_8bPsOlHYd7GM_XryFYhNnUXOe7TJxzQqfNwi6W3CgrL_-NAQV1bWyD2uQCSxYJqZCicMpbYjBiuZUpF3RdwYHJeZATk-webmvj0UgAr6DFr5tLcdo6psH7fYkufF1Eu2n-XedEHd3X7fz4qKLzR-FnkAlXC7EE7ZOESUbYoizduKUEwXyx3dyXDArbrysbkol-UY3qZm981GQGENpmU083b8U4l9f9p97x-GYj3MGfX19WjCnWIMHhmHLYZXXYi9KnuAdmzBOcxZg8T66er37Y0ZDdLGtt2h6sKlOkEph_MGfw0y-5zRzGp0gRgAjbEJxT4ln1iilOM8g9j81vwFozki1KNmkKbj7NLoLrZpkesJKAUwwRLFjYx4WHR62ZnbzR7DbDzFAbEIo5XbzAFmGCzTbRYTD0XV7EAT1_yfqobGhwzCcqyNh-oJTVPy-ozbS7Hc8EcKUzMQ25Hv_R7AjtNb55v0JVrQf_Wue6kTFmNJc9lT7odsaQhGL-przvouApTWsT3AGRuxTy_WzG3bSNs6bzmNUwRaxaWBvGqdYosOW6mVPTgrmeCazo0WfYjsnqt3_Na6ZCBDYIbXSbGm-Fn1chTNXouBEPlYUn1CrHDfmE4myp4JcqDyz1l7KvUo7eGKSVnsjfgQ==&xkcb=SoA56_M39QgDA8yRTx0AbzkdCdPP&camk=4HOcmqOLYrAY9i7xfdbs4A==&p=11&fvj=0&vjs=3,Data Engineer,Hybrid work in McLean,VA
43,Data Scientist,eBay,114000.0,https://www.indeed.com/rc/clk?jk=b36658b24e72786a&bb=Ta2QNd0XKIzG4SAT2jzt0aba46IiW5UFHFFjs72LGfPLONVz0bt_fEcN-cunFnBKRjab8xKUE5XM2emO2N5_yG3mgpwU-zlGY2Fhrw7yQ1H58wHTKir2wg%3D%3D&xkcb=SoBD67M39QgDA8yRTx0HbzkdCdPP&fccid=ccf155b8e5eb4bf8&vjs=3,Data Scientist,Remote in San Jose,CA
44,Data Scientist II - Anesthesiology,UTHealth Houston,70000.0,https://www.indeed.com/rc/clk?jk=2f9d420e709a8b5c&bb=Ta2QNd0XKIzG4SAT2jzt0UIjjGtglkJGMAuAif_-pDOZ_nS_e2X-ecxRYfw6iMJGHqbP8bt5C-j9oJucYLJEktxrGVPICJ0ZcYxP1uunUVzfkodyy7GWIA%3D%3D&xkcb=SoD367M39QgDA8yRTx0GbzkdCdPP&fccid=2259246cd8a35c6c&vjs=3,Data Scientist,,
45,Senior Data Scientist,Kikoff,70000.0,https://www.indeed.com/rc/clk?jk=cfc333eb1c181dcb&bb=Ta2QNd0XKIzG4SAT2jzt0RczFo3I9VPVioA21Sv_XpjCLZhujvXd0SNLY71I0ol5L-OTS-FJSvP8W1VzRdx-SznTMJr55NCudY3-k9BQTMLa-WUJCeQvn7Z6oMAYsYcp&xkcb=SoBq67M39QgDA8yRTx0FbzkdCdPP&fccid=32227046f4a45298&vjs=3,Data Scientist,San Francisco,CA
46,Data Scientist - MCTO,"II Corps Consultants, Inc.",0.0,https://www.indeed.com/rc/clk?jk=87a9ed6eda09634d&bb=1njvimLpOGD6kBusRFqbmlWyqayc0XHY6rm9X7mmwpWq2FDxxRGrj1gIGzLl92WjieGUS0syHids61g3_BwobbWt4hNkMef8fAojYLkGFP5belvWg0q8RmxpHQi9xPMV&xkcb=SoAL67M39QgCmly2A50LbzkdCdPP&fccid=c803853a29c3a5ce&cmp=IICORPS-Consultants-INC&ti=Data+Scientist&vjs=3,Data Scientist,Hybrid work in Alexandria,VA
47,Data Scientist,SVB Capital,70000.0,https://www.indeed.com/rc/clk?jk=025fcaf2e44994a5&bb=1njvimLpOGD6kBusRFqbmsoVGNvGnUnQagq3fi0wfRz-0sX87u28HVb23pK6lZ0cTQ-X6zGjMR8lXXadUOMnG5zT-e-TbDHkLfPmUhL5oirrlktev0zYYq59LU02fBXE&xkcb=SoC_67M39QgCmly2A50KbzkdCdPP&fccid=a8ba95482d384215&vjs=3,Data Scientist,Hybrid work in Menlo Park,CA
48,Senior Data Scientist,Verikai Inc.,0.0,https://www.indeed.com/rc/clk?jk=4e620a532e9a787f&bb=1njvimLpOGD6kBusRFqbmqHobpZPxpr6csprWBJyQGvL-FJjYzy1ZbnhZW3wcj0Uu5mwI8s2BHsqSkt5tkNW1we49F_i7QAxANDIQUgOaryyl3PrvzZEyQ%3D%3D&xkcb=SoAi67M39QgCmly2A50JbzkdCdPP&fccid=34ad38177401e71c&vjs=3,Data Scientist,Washington,DC
49,DATA SCIENTIST I,"U.S. Xpress Enterprises, Inc.",70000.0,https://www.indeed.com/rc/clk?jk=2d5bf8c455bbd092&bb=1njvimLpOGD6kBusRFqbmsoVGNvGnUnQ4A8G3ub8oGSqk-lpGNR4XETP1bYpGVXmGBzbaHuYC0f1BfAr-t5oWkcbDwQJJDWe4NUpmqGSj7ro4gaEICEJSbjXPKaOBAf9&xkcb=SoCW67M39QgCmly2A50IbzkdCdPP&fccid=d921f5450b899369&vjs=3,Data Scientist,Remote in Chattanooga,TN
50,Order To Cash Data Scientist,Hertz,70000.0,https://www.indeed.com/rc/clk?jk=6320ea3932a00aa7&bb=1njvimLpOGD6kBusRFqbmtRjbCg8lmP5N1AbntXhSmpgJKm8Ov3A7MMwognvEqIi25igvTrWCWle3vDECTsjj6jBrlfdjpAIhxDUuaIKPo73mibpVqtlWw%3D%3D&xkcb=SoAY67M39QgCmly2A50PbzkdCdPP&fccid=2198321f20b9c5d3&vjs=3,Data Scientist,Oklahoma City,OK
51,Biological Data Scientist,University of Nebraska Medical Center,69000.0,https://www.indeed.com/rc/clk?jk=b1b85fc2beb86020&bb=1njvimLpOGD6kBusRFqbmhsR8rR5u7vEsf67aAN3oCsytL2jmOvSzKSJSLtw5eVHh02NjvsICCmqBA12122WX2bg2ksW6aL59n8tT-Jq5m01nTbvpnmQew%3D%3D&xkcb=SoCs67M39QgCmly2A50ObzkdCdPP&fccid=b8b24773975b4576&vjs=3,Data Scientist,Omaha,NE
52,Data Scientist,Grit Government Solutions,0.0,https://www.indeed.com/rc/clk?jk=4054aab1ff0e53b0&bb=1njvimLpOGD6kBusRFqbmn4bkXhrHvBJLsg7HYsNhp1m52WhPWpgdi01bsWeY88ypbSi2TftfEIymiYqBuwOSSmGqXb3oLxcsbsTA9G-J3c9qjuIt8t5-bYo6EF98z_Q&xkcb=SoAx67M39QgCmly2A50NbzkdCdPP&fccid=972df28365a3418e&cmp=Grit-Government-Solutions&ti=Data+Scientist&vjs=3,Data Scientist,Fort Eustis,VA
53,"Executive, Data Scientist",USAA,150000.0,https://www.indeed.com/rc/clk?jk=52da139480a1f0c6&bb=1njvimLpOGD6kBusRFqbmmDwphwwQJ8WMYdRRgUBWwAxsH9kKsVZNqPra3rTy76gOKCgygSkj0QkkJ6lnJkieS-65yYrw4EOp19FxxXd9bA4yi1cjX60Ow%3D%3D&xkcb=SoCF67M39QgCmly2A50MbzkdCdPP&fccid=3a1edc2d763c4288&vjs=3,Data Scientist,Remote in San Antonio,TX
54,Specialist - Data Scientist,Ally Financial,70000.0,https://www.indeed.com/rc/clk?jk=ceaea9459ced5b34&bb=1njvimLpOGD6kBusRFqbmk4DqgpfrqyZs92uC5XRoZNwso5xlD1M2DBZgDArfaddaMM9XNPkDfz0p4VsY6wK-DwPJkjO1xmg-rYX9ilA-VS5s4ge8tVtyQ%3D%3D&xkcb=SoBs67M39QgCmly2A50DbzkdCdPP&fccid=f8c85b296194776f&vjs=3,Data Scientist,Hybrid work in Detroit,MI
55,Data Scientist I,GEICO,70000.0,https://www.indeed.com/rc/clk?jk=a53b8321fce40531&bb=1njvimLpOGD6kBusRFqbmsoVGNvGnUnQvadQKNwNMZzRYUB260-ohGVfXyaTYT_w_8fXdKis0uky1ep741J4PK5wrfRyLTXEJ-cs8-Odo7xu9mUVDpGyjw%3D%3D&xkcb=SoDY67M39QgCmly2A50CbzkdCdPP&fccid=71b1543b29473502&vjs=3,Data Scientist,Chevy Chase,MD
56,"Data Scientist II (Northridge, CA or MN)",Medtronic,110000.0,https://www.indeed.com/rc/clk?jk=2b8a2d66a4a2878c&bb=1njvimLpOGD6kBusRFqbmvrVCXjA91h7by2h5Ctk-7Jz10QluqR5JBE-kiVgdM_EukBfNiNhEQ6Ndz9GeT4ds5wn9XYPqOpBk685KpjaFA-uJ-kacIZiNg%3D%3D&xkcb=SoBF67M39QgCmly2A50BbzkdCdPP&fccid=f06a4d05bf5510ec&vjs=3,Data Scientist,Northridge,CA
57,Data Scientist,Greystones Consulting Group LLC,0.0,https://www.indeed.com/rc/clk?jk=d64f11187fe47c1d&bb=1njvimLpOGD6kBusRFqbmoyg2MgGnrvO97mzPlzSkxs_xcibQVPbt5N6AHkbJiw3covy6dGlv7vwmsGhX67OvVc4r3fAx-9BF1oQp6sUj7JPE8fUyj9Y1c-QRHEzXdta&xkcb=SoDx67M39QgCmly2A50AbzkdCdPP&fccid=c217704cc373c1dc&vjs=3,Data Scientist,Washington,DC
58,Senior Data Scientist,Protellhirestaffingsolution.com,0.0,https://www.indeed.com/rc/clk?jk=3c3ab259a7c51630&bb=1njvimLpOGD6kBusRFqbmgYVxCR3H7dEpo-Q40s9RlWu3-hYxtPY571HIC3AONUHZSkgzdEU_rTDlPUlVd3tAfuyScBI0dkXxIpuClZOk5j0tC0Ug87Pw3VK9aj9AjZ6&xkcb=SoB_67M39QgCmly2A50HbzkdCdPP&fccid=f0564b375a9b4b25&cmp=Protellhirestaffingsolution.com&ti=Senior+Data+Scientist&vjs=3,Data Scientist,Cupertino,CA
59,"Senior Data Scientist, Generative AI",Scale AI,0.0,https://www.indeed.com/rc/clk?jk=5eb7ef8ca9b9e053&bb=1njvimLpOGD6kBusRFqbmsPUs9Q4IJI2LeR__LsvHachEBzbqBIoCFK7ktZIK12rSRfKtFxtDdKz6CTqOViph1ED3sopQqLjWecmWGNoWzTa2_MvLV5xkUlLcSbVJEwE&xkcb=SoDL67M39QgCmly2A50GbzkdCdPP&fccid=4eacfef094c1e91a&vjs=3,Data Scientist,San Francisco,CA
60,Data Scientist VA-1509,Quevera LLC,70000.0,https://www.indeed.com/rc/clk?jk=ce70c4e6ffcbdf3d&bb=1njvimLpOGD6kBusRFqbmstbQg2eVXEonYGtdKDYNeUa5kSSJ9erzWOJWM_1e5c0RZmPmjcqqUrbMqP-JbB0qtnF_HQfDdLya0VXadwLRNY78nizVDoxTAyCxnUraYCZ&xkcb=SoBW67M39QgCmly2A50FbzkdCdPP&fccid=be24e5d327a08716&vjs=3,Data Scientist,McLean,VA
61,Data Scientist VA-1509,Quevera LLC,70000.0,https://www.indeed.com/rc/clk?jk=ce70c4e6ffcbdf3d&bb=CW9aUwiCnZ7udZzSRhxt6QqznlaZk2XergdJVqenan4lWb8XSI_cFDpo1ToDbKoKGo7OhtneLCM97lwZSR6H1ySAkfXwhC2e4pJZuN1Lmr1r9WDo_W2j22_5G0dcBgfw&xkcb=SoBB67M39QgCQ_w25h0LbzkdCdPP&fccid=be24e5d327a08716&vjs=3,Data Scientist,McLean,VA
62,Data Scientist,Transaction Network Services,0.0,https://www.indeed.com/rc/clk?jk=1d953fec7bc52fe7&bb=CW9aUwiCnZ7udZzSRhxt6UWSB3AoqGpMA3vGjYP3UTzBEACXxD3NUF4l5VU1Uzeu4zbmHA0wBn5R6DZQTs_7ijHzADp7W_sOps1VmBpihm9YBnk9mw5CtRyKKkdq9cwU&xkcb=SoD167M39QgCQ_w25h0KbzkdCdPP&fccid=dcce7a0c9a34f673&vjs=3,Data Scientist,,
63,Data Analyst/Scientist,Risk Solutions,70000.0,https://www.indeed.com/rc/clk?jk=67f1c8b4e09367a7&bb=CW9aUwiCnZ7udZzSRhxt6WequwvnR5JZbqDszgFbRSDkXa9GS-QP_CKoCdisKqvKoROVZA8beFae6oWB0MvlYUnvu-rmVDYeE-Z_nEiwZGG_a87uJB1zOgx01dgkIYvz&xkcb=SoBo67M39QgCQ_w25h0JbzkdCdPP&fccid=4d07247f1ac72363&vjs=3,Data Scientist,Hybrid work in Minneapolis,MN
64,Sr Data Scientist,PayPal,84000.0,https://www.indeed.com/rc/clk?jk=fa6bec3c05e05005&bb=CW9aUwiCnZ7udZzSRhxt6RYfGr25HxQfg3ebd39uqS5JroZoXurE-OZnoAN68ZXb_lMRdDvUiQMTJYNOJPX-JfKw9ZUf7rtPwChHJgaUmDW52KQiT0Upsg%3D%3D&xkcb=SoDc67M39QgCQ_w25h0IbzkdCdPP&fccid=978d9fd9799d55a8&vjs=3,Data Scientist,Hybrid work in New York,NY
65,FinTech Data Scientist,Vanguard,70000.0,https://www.indeed.com/rc/clk?jk=ec2f78b069db6fd9&bb=CW9aUwiCnZ7udZzSRhxt6deUAjnE7A56311G2QIVwef544RBTokLg8gRXNwAg5FGrIx82doS6yaiSyr3bOB204NLZauFdIeoYwk2jIYTP9_OaW3hsigTvg%3D%3D&xkcb=SoBS67M39QgCQ_w25h0PbzkdCdPP&fccid=510aa29fcf8f87d9&vjs=3,Data Scientist,Malvern,PA
66,Data Scientist,Plexus,70000.0,https://www.indeed.com/rc/clk?jk=cdfcf098d2fc5cb3&bb=CW9aUwiCnZ7udZzSRhxt6Z9ZVjv6ihb8I5c48zHYnTLvalDCurNLRCjTP1u0iE7LZo-e4ILhZM9qB_9K-Rv2lS5SmfWU8Xc8gx-Rfxp7OcLlrgP92O7dJRZf9kjc2xWe&xkcb=SoDm67M39QgCQ_w25h0ObzkdCdPP&fccid=f46d2a22e8c08ae8&vjs=3,Data Scientist,Neenah,WI
67,Senior Data Scientist,Autodesk,0.0,https://www.indeed.com/rc/clk?jk=8165db2537d167fe&bb=CW9aUwiCnZ7udZzSRhxt6TLAn-2A7rmUVg7M2p6hipCnKEPSJ01yBZD7Q-JjQCn7Hrx77rzLqK2HYZMMnG1TxtLa6H1AUcMxkeP7N2bi6IwZnHM-4XGQwm8vjec8oQ41&xkcb=SoB767M39QgCQ_w25h0NbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,Data Scientist,,
68,Statistical Assistant,Infojini Inc,37000.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Anf6jJp3o99dkiXR3U9YqnwbHyRLE-Aep-9JQoPN7RZaijeiJpuCay3BpeAm-pvtG42QfNLf26BsEjDbn5yKNSlHyxK3xPXmOc5kn0-Jmr1hBKlLyk4g9ly26i5BISf3A7sMH3w7FuIQ-GMCHZEMQZMGEpfNhIpPexaYvQuw4DmiuPFEukXWIKe6E3wLEWZqpX8SpS6vuOP6uxf6LSMAoq7nAPBf716dk520qibLYJ2_2THBozMKaLOW47urdW-sRhKoPWfR96NffXUIex0Ho4sV_WHFZ8hVQa_AkaX7NtUiaDgeDXlcYmmjGp4oTSO44CqENBOtDQ4zyKxJZeQckjja7ByGe8qWDZ0nCbiWdtWxpyJoY0uO72dC3ALwESnVcJnQO2t5GluGBw8VaTImsMJfXsE4CJsfgRdlFfqCSXchutZVhWw2d4UM90Bf-rXsHD1rRA1CqCrT7YtLdkYzBut2LjMt1XxhBGesPASR3vTwyR7ceotW-BQUoBi33sJgQDffuFT7SYD3E92cn47FckryzUsEojPY6Pr2PcbpkrvpVXhoE_d_Gv7Vnfgp7lD9SW3ajcFBgr4izOkilgTFnWzeJJBAZ8JxIg-4mrtwtU_oY_psMA32wZoXWvP737F0o6LocKYwT6tSpFsAhbqYzqpIc9txNdtpS8ZOZIcrjj3CTmcLXw47hV&xkcb=SoA76_M39QgCQ_w25h0MbzkdCdPP&camk=4HOcmqOLYrAA3dX6ba566Q==&p=7&fvj=1&vjs=3,Other,Menands,NY
69,Data Scientist 2,The Church of Jesus Christ of Latter-day Saints,70000.0,https://www.indeed.com/rc/clk?jk=6666a40c58be9318&bb=CW9aUwiCnZ7udZzSRhxt6ZBlccgQXibPnoAX3ymONmi4ZgQ07FBBL5-AJE74YlLAsA1NmJqkbbxXDCVe4zZwi-UYq91YWmd0ZrtdyOaGzcmTNn5KXBLclqQBvq0al0mL&xkcb=SoAm67M39QgCQ_w25h0DbzkdCdPP&fccid=7e408d96768a4a43&vjs=3,Data Scientist,Salt Lake City,UT
70,Data Scientist/ Machine Learning Engineer || Full Time,Braintree Technology Solutions Inc.,70000.0,https://www.indeed.com/rc/clk?jk=113a1036e8caa367&bb=CW9aUwiCnZ7udZzSRhxt6WBMEOJzRpmfiDL3nGyE-AUh8Z9Qvgp3bu9KMBY8yvQn1jwrZwrkVa7OpoyHmGMRiijSB2Ei5d9YYTlawt3wUuACLHZo0rAp1E2xSF0EsKFX&xkcb=SoCS67M39QgCQ_w25h0CbzkdCdPP&fccid=404003403215aa69&cmp=Braintree-Technology-Solutions-Inc.&ti=Machine+Learning+Engineer&vjs=3,Data Scientist,Fort Worth,TX
71,Data Scientist,City of Seattle,70000.0,https://www.indeed.com/rc/clk?jk=4f0e4b1981fb93e7&bb=CW9aUwiCnZ7udZzSRhxt6VAORFsSe7zx7XzwDnPRGgyMrHXcW_58WqC-GCiBTFJ6lFm-ehzWdlLtZrY_-OmOG9FMcYq5CUAQgVCTCW_1odaV8uab6_4yw4rR9tdNUJ6X&xkcb=SoAP67M39QgCQ_w25h0BbzkdCdPP&fccid=7ab02d0382dcd5b4&vjs=3,Data Scientist,Seattle,WA
72,Data Scientist,Barbaricum,70000.0,https://www.indeed.com/rc/clk?jk=4f85bfb3e0e4b091&bb=CW9aUwiCnZ7udZzSRhxt6YdQEIH3w6CUybNvqwpv11GNzq6JBHAp2Fc6U-p_dO8uTHiOIRgKd1RhikVh-131tXhvXzjp_w-Es9GL_oSNgGIxupo8XSFCeZGhJkBleued&xkcb=SoC767M39QgCQ_w25h0AbzkdCdPP&fccid=0ce8583f8756e02c&vjs=3,Data Scientist,,
73,Senior Staff Data Scientist (Xpanse),Palo Alto Networks,70000.0,https://www.indeed.com/rc/clk?jk=51d027a1876db6f1&bb=CW9aUwiCnZ7udZzSRhxt6Y20ywlsFxODWFd0xhU_qc5LRTP9AglVpgWvECfPggSIoErPFjfb0bY8Ay7naUM3PpXP_NLV8Y3giDyDfM-hiuJrynZv-DFWphdOumiO4RiY&xkcb=SoA167M39QgCQ_w25h0HbzkdCdPP&fccid=0562f887e2bed9ea&vjs=3,Data Scientist,San Francisco,CA
